"Week","Category","Total_Quantity"
2024-03-10,"Bakery, Bread & Baking ingredient",5
2024-03-10,"Other",19
2024-03-10,"Tea Coffee, Dried fruits & Nuts",1
2024-03-17,"Bakery, Bread & Baking ingredient",12351
2024-03-17,"Dairy & Dairy alternatives",256
2024-03-17,"Dessert, Confectionery, biscuit & snacks",3
2024-03-17,"Dried Pasta, Rice, Noodles & Pulse",326
2024-03-17,"Fruit & Vegetables (Fresh)",7744
2024-03-17,"Meat, Poultry, Fish & Egg",7
2024-03-17,"Other",977
2024-03-17,"Ready meal, pizza, soup & Salad boxes",2
2024-03-17,"Sauces, Pickles, Herbs, Tins & Bottles",568
2024-03-24,"Bakery, Bread & Baking ingredient",15240
2024-03-24,"Dairy & Dairy alternatives",146882
2024-03-24,"Dessert, Confectionery, biscuit & snacks",232
2024-03-24,"Drink, Juice & Drink ingredients",4
2024-03-24,"Fruit & Vegetables (Fresh)",111247
2024-03-24,"Other",968
2024-03-24,"Plant based products",34
2024-03-24,"Sauces, Pickles, Herbs, Tins & Bottles",2
2024-03-31,"Bakery, Bread & Baking ingredient",25931
2024-03-31,"Fruit & Vegetables (Fresh)",20761
2024-03-31,"Other",77
2024-04-07,"Bakery, Bread & Baking ingredient",20396
2024-04-07,"Dairy & Dairy alternatives",83971
2024-04-07,"Dessert, Confectionery, biscuit & snacks",5793
2024-04-07,"Drink, Juice & Drink ingredients",15001
2024-04-07,"Fruit & Vegetables (Fresh)",59354
2024-04-07,"Meat, Poultry, Fish & Egg",3
2024-04-07,"Other",780
2024-04-07,"Plant based products",21647
2024-04-07,"Sauces, Pickles, Herbs, Tins & Bottles",15111
2024-04-14,"Bakery, Bread & Baking ingredient",249200
2024-04-14,"Dessert, Confectionery, biscuit & snacks",3330
2024-04-14,"Other",362
2024-04-14,"Ready meal, pizza, soup & Salad boxes",25
2024-04-21,"Bakery, Bread & Baking ingredient",92230
2024-04-21,"Dairy & Dairy alternatives",24844
2024-04-21,"Drink, Juice & Drink ingredients",3438
2024-04-21,"Fruit & Vegetables (Fresh)",12638
2024-04-21,"Meat, Poultry, Fish & Egg",140705
2024-04-21,"Non food",1864
2024-04-21,"Other",898
2024-04-21,"Ready meal, pizza, soup & Salad boxes",54901
2024-04-21,"Sauces, Pickles, Herbs, Tins & Bottles",19203
2024-04-28,"Bakery, Bread & Baking ingredient",40509
2024-04-28,"Dairy & Dairy alternatives",295
2024-04-28,"Dessert, Confectionery, biscuit & snacks",23
2024-04-28,"Dried Pasta, Rice, Noodles & Pulse",11
2024-04-28,"Fruit & Vegetables (Fresh)",22870
2024-04-28,"Meat, Poultry, Fish & Egg",12958
2024-04-28,"Non food",2730
2024-04-28,"Other",523
2024-04-28,"Plant based products",1
2024-04-28,"Ready meal, pizza, soup & Salad boxes",541
2024-04-28,"Sauces, Pickles, Herbs, Tins & Bottles",2886
2024-04-28,"Tea Coffee, Dried fruits & Nuts",1
2024-05-05,"Bakery, Bread & Baking ingredient",63800
2024-05-05,"Dairy & Dairy alternatives",289
2024-05-05,"Dessert, Confectionery, biscuit & snacks",396
2024-05-05,"Drink, Juice & Drink ingredients",1
2024-05-05,"Fruit & Vegetables (Fresh)",268
2024-05-05,"Meat, Poultry, Fish & Egg",62
2024-05-05,"Other",513
2024-05-05,"Plant based products",3
2024-05-05,"Ready meal, pizza, soup & Salad boxes",23
2024-05-05,"Sauces, Pickles, Herbs, Tins & Bottles",451
2024-05-05,"Tea Coffee, Dried fruits & Nuts",2
2024-05-12,"Bakery, Bread & Baking ingredient",87651
2024-05-12,"Dairy & Dairy alternatives",39
2024-05-12,"Dessert, Confectionery, biscuit & snacks",32
2024-05-12,"Dried Pasta, Rice, Noodles & Pulse",3
2024-05-12,"Drink, Juice & Drink ingredients",4
2024-05-12,"Fruit & Vegetables (Fresh)",85154
2024-05-12,"Meat, Poultry, Fish & Egg",17
2024-05-12,"Other",640
2024-05-12,"Plant based products",32
2024-05-12,"Ready meal, pizza, soup & Salad boxes",30
2024-05-12,"Sauces, Pickles, Herbs, Tins & Bottles",32
2024-05-19,"Bakery, Bread & Baking ingredient",19
2024-05-19,"Dairy & Dairy alternatives",96004
2024-05-19,"Dessert, Confectionery, biscuit & snacks",4
2024-05-19,"Dried Pasta, Rice, Noodles & Pulse",2
2024-05-19,"Fruit & Vegetables (Fresh)",38
2024-05-19,"Meat, Poultry, Fish & Egg",25
2024-05-19,"Other",185
2024-05-19,"Ready meal, pizza, soup & Salad boxes",15
2024-05-19,"Sauces, Pickles, Herbs, Tins & Bottles",2
